player,team,league,season,position,age,minutes,team_possession_pct,psxg_net_per90,save_pct,pass_completion_pct,passes_completed_long_pct,def_actions_outside_pen_per90,crosses_stopped_pct,avg_dist_def_actions,progressive_passes_per90,progressive_passing_distance_per90,passes_into_final_third_per90,progressive_carries_per90,take_on_success_pct,padj_tackles_per90,padj_interceptions_per90,ball_recoveries_per90,blocks_per90,aerial_win_pct,tackle_win_pct,xAG_per90,sca_per90,key_passes_per90,passes_into_penalty_area_per90,take_ons_attempted_per90,tackles_att_3rd_per90,npxG_per90,shots_total_per90,touches_att_pen_per90,carries_into_penalty_area_per90,shots_on_target_pct
Haris Tabakovic,Hoffenheim,Bundesliga,2024/25,ST,29,1061,49.0,,,74.3,,,,,,,,,,1.42,,2.29,,47.7,,0.11,1.9,0.71,,,0.8,0.58,2.67,8.1,1.62,54.0
Max Moerstedt,Hoffenheim,Bundesliga,2025/26,ST,18,2637,49.0,,,63.6,,,,,,,,,,0.72,,2.96,,51.5,,0.16,2.81,1.02,,,0.52,0.73,4.31,6.73,1.31,42.5
Max Moerstedt,Hoffenheim,Bundesliga,2024/25,ST,17,2241,49.0,,,58.5,,,,,,,,,,0.66,,2.72,,47.4,,0.15,2.59,0.94,,,0.48,0.67,3.97,6.19,1.21,39.1
Kevin Müller,Heidenheim,Bundesliga,2025/26,GK,33,814,42.0,0.23,79.6,74.3,48.0,1.35,6.4,13.4,,,,,,,,,,,,,,,,,,,,,,
Kevin Müller,Heidenheim,Bundesliga,2024/25,GK,32,900,42.0,0.24,83.6,78.0,50.4,1.42,10.0,14.07,,,,,,,,,,,,,,,,,,,,,,
Frank Feller,Heidenheim,Bundesliga,2025/26,GK,21,2686,42.0,-0.06,65.5,83.7,48.1,0.73,10.3,14.5,,,,,,,,,,,,,,,,,,,,,,
Frank Feller,Heidenheim,Bundesliga,2024/25,GK,20,2686,42.0,0.0,60.3,77.0,44.3,0.67,10.0,13.34,,,,,,,,,,,,,,,,,,,,,,
Patrick Mainka,Heidenheim,Bundesliga,2025/26,CB,30,864,42.0,,,79.1,,,,,2.27,348.5,3.51,1.51,76.2,1.49,1.07,5.54,1.81,70.1,75.5,,,,,,,,,,,
Patrick Mainka,Heidenheim,Bundesliga,2024/25,CB,29,900,42.0,,,80.7,,,,,2.32,355.47,3.58,1.54,77.7,1.52,1.09,5.65,1.85,71.5,77.0,,,,,,,,,,,
Benedikt Gimber,Heidenheim,Bundesliga,2025/26,CB,27,1373,42.0,,,83.6,,,,,3.16,403.9,4.79,0.98,67.9,2.35,1.48,5.06,1.21,68.2,64.4,,,,,,,,,,,
Benedikt Gimber,Heidenheim,Bundesliga,2024/25,CB,26,1373,42.0,,,85.3,,,,,3.22,411.98,4.89,1.0,69.3,2.4,1.51,5.16,1.23,69.6,65.7,,,,,,,,,,,
Tim Siersleben,Heidenheim,Bundesliga,2025/26,CB,24,2030,42.0,,,79.7,,,,,4.23,347.9,4.81,0.76,70.4,2.11,1.07,5.21,1.96,62.6,70.5,,,,,,,,,,,
Tim Siersleben,Heidenheim,Bundesliga,2024/25,CB,23,2030,42.0,,,76.5,,,,,4.06,333.98,4.62,0.73,67.6,2.03,1.03,5.0,1.88,60.1,67.7,,,,,,,,,,,
Jonas Föhrenbach,Heidenheim,Bundesliga,2025/26,FB,29,2505,42.0,,,74.3,,,,,3.9,,2.43,3.64,41.7,2.33,1.62,6.09,,46.4,,0.13,2.1,1.06,1.58,2.39,0.29,,,,,
Jonas Föhrenbach,Heidenheim,Bundesliga,2024/25,FB,28,2505,42.0,,,75.8,,,,,3.98,,2.48,3.71,42.5,2.38,1.65,6.21,,47.3,,0.13,2.14,1.08,1.61,2.44,0.3,,,,,
Marnon Busch,Heidenheim,Bundesliga,2025/26,FB,30,2152,42.0,,,83.0,,,,,3.76,,4.02,2.17,66.2,1.88,2.14,6.67,,52.0,,0.18,3.34,1.99,0.68,2.81,0.38,,,,,
Marnon Busch,Heidenheim,Bundesliga,2024/25,FB,29,2152,42.0,,,84.7,,,,,3.84,,4.1,2.21,67.5,1.92,2.18,6.8,,53.0,,0.18,3.41,2.03,0.69,2.87,0.39,,,,,
Omar Traore,Heidenheim,Bundesliga,2025/26,FB,26,2163,42.0,,,83.3,,,,,5.99,,4.74,3.39,61.1,2.29,1.36,5.46,,51.7,,0.11,3.32,1.1,0.88,3.09,0.24,,,,,
Omar Traore,Heidenheim,Bundesliga,2024/25,FB,25,2163,42.0,,,85.0,,,,,6.11,,4.83,3.46,62.3,2.34,1.39,5.57,,52.7,,0.11,3.39,1.12,0.9,3.15,0.24,,,,,
Lennard Maloney,Heidenheim,Bundesliga,2025/26,CM,25,2271,42.0,,,85.8,,,,,7.81,,3.81,1.8,54.4,1.61,2.3,7.97,0.82,53.8,,0.12,4.15,1.59,2.11,,,0.06,,,,
Lennard Maloney,Heidenheim,Bundesliga,2024/25,CM,24,2271,42.0,,,87.5,,,,,7.97,,3.89,1.84,55.5,1.64,2.35,8.13,0.84,54.9,,0.12,4.23,1.62,2.15,,,0.06,,,,
Jan Schöppner,Heidenheim,Bundesliga,2025/26,CM,25,3192,42.0,,,87.5,,,,,6.5,,5.74,2.64,52.7,3.55,2.45,7.57,1.39,44.2,,0.13,1.96,1.36,1.26,,,0.1,,,,
Jan Schöppner,Heidenheim,Bundesliga,2024/25,CM,24,3192,42.0,,,89.2,,,,,6.63,,5.85,2.69,53.8,3.62,2.5,7.72,1.42,45.1,,0.13,2.0,1.39,1.29,,,0.1,,,,
Norman Theuerkauf,Heidenheim,Bundesliga,2025/26,CM,37,2242,42.0,,,84.6,,,,,4.29,,6.39,1.08,73.4,3.17,2.15,6.65,1.81,45.8,,0.19,2.96,2.36,1.58,,,0.04,,,,
Norman Theuerkauf,Heidenheim,Bundesliga,2024/25,CM,36,2242,42.0,,,88.8,,,,,4.5,,6.71,1.13,77.1,3.33,2.26,6.98,1.9,48.1,,0.2,3.11,2.48,1.66,,,0.04,,,,
Luka Janes,Heidenheim,Bundesliga,2025/26,CM,21,1418,42.0,,,84.2,,,,,6.42,,3.03,2.22,61.5,1.53,1.79,6.1,1.97,40.4,,0.15,2.62,1.85,1.83,,,0.02,,,,
Luka Janes,Heidenheim,Bundesliga,2024/25,CM,20,1418,42.0,,,77.5,,,,,5.91,,2.79,2.04,56.6,1.41,1.65,5.61,1.81,37.2,,0.14,2.41,1.7,1.68,,,0.02,,,,
Paul Wanner,Heidenheim,Bundesliga,2025/26,W,19,2563,42.0,,,,,,,,3.07,,,6.26,53.2,1.31,1.07,5.97,,,,0.33,2.82,1.67,,3.96,0.5,0.39,1.69,3.6,1.99,
Paul Wanner,Heidenheim,Bundesliga,2024/25,W,18,2178,42.0,,,,,,,,2.82,,,5.76,48.9,1.21,0.98,5.49,,,,0.3,2.59,1.54,,3.64,0.46,0.36,1.55,3.31,1.83,
Leo Scienza,Heidenheim,Bundesliga,2025/26,W,26,1130,42.0,,,,,,,,2.69,,,3.04,41.4,2.07,1.07,5.57,,,,0.32,4.78,1.78,,5.76,0.39,0.35,1.69,4.52,2.25,
Leo Scienza,Heidenheim,Bundesliga,2024/25,W,25,1130,42.0,,,,,,,,2.74,,,3.1,42.2,2.11,1.09,5.68,,,,0.33,4.88,1.82,,5.88,0.4,0.36,1.72,4.61,2.29,
Adrian Beck,Heidenheim,Bundesliga,2025/26,W,27,2963,42.0,,,,,,,,3.12,,,5.74,63.1,0.86,1.35,3.05,,,,0.2,5.2,2.18,,4.36,0.49,0.43,2.88,5.27,2.36,
Adrian Beck,Heidenheim,Bundesliga,2024/25,W,26,2963,42.0,,,,,,,,3.18,,,5.85,64.4,0.88,1.38,3.11,,,,0.2,5.3,2.22,,4.45,0.5,0.44,2.94,5.38,2.41,
Sirlord Conteh,Heidenheim,Bundesliga,2025/26,W,28,1390,42.0,,,,,,,,5.59,,,4.56,60.9,0.78,1.49,5.17,,,,0.29,3.69,2.36,,4.2,0.75,0.38,1.65,3.65,1.83,
Sirlord Conteh,Heidenheim,Bundesliga,2024/25,W,27,1390,42.0,,,,,,,,5.7,,,4.65,62.1,0.8,1.52,5.27,,,,0.3,3.76,2.41,,4.28,0.77,0.39,1.68,3.72,1.87,
Marvin Pieringer,Heidenheim,Bundesliga,2025/26,ST,25,2216,42.0,,,60.6,,,,,,,,,,0.86,,2.48,,54.2,,0.24,2.29,1.66,,,0.8,0.33,3.37,5.36,0.91,51.8
Marvin Pieringer,Heidenheim,Bundesliga,2024/25,ST,24,2216,42.0,,,61.8,,,,,,,,,,0.88,,2.53,,55.3,,0.24,2.34,1.69,,,0.82,0.34,3.44,5.47,0.93,52.8
Mikkel Kaufmann,Heidenheim,Bundesliga,2025/26,ST,23,2337,42.0,,,63.1,,,,,,,,,,0.82,,2.98,,50.5,,0.21,2.93,0.62,,,0.58,0.52,3.86,4.34,1.57,48.2
Mikkel Kaufmann,Heidenheim,Bundesliga,2024/25,ST,22,2337,42.0,,,60.6,,,,,,,,,,0.79,,2.86,,48.5,,0.2,2.81,0.6,,,0.56,0.5,3.71,4.17,1.51,46.3
Maximilian Breunig,Heidenheim,Bundesliga,2025/26,ST,24,1236,42.0,,,70.2,,,,,,,,,,1.1,,2.61,,37.6,,0.07,2.36,1.34,,,0.25,0.35,4.39,7.05,0.65,43.9
Maximilian Breunig,Heidenheim,Bundesliga,2024/25,ST,23,1236,42.0,,,67.4,,,,,,,,,,1.06,,2.51,,36.1,,0.07,2.27,1.29,,,0.24,0.34,4.21,6.77,0.62,42.1
Michael Zetterer,Werder Bremen,Bundesliga,2025/26,GK,29,2128,46.5,0.3,60.2,73.3,49.5,1.95,8.0,18.0,,,,,,,,,,,,,,,,,,,,,,
Michael Zetterer,Werder Bremen,Bundesliga,2024/25,GK,28,2128,46.5,0.31,61.4,74.8,50.5,1.99,10.0,18.36,,,,,,,,,,,,,,,,,,,,,,
Mio Backhaus,Werder Bremen,Bundesliga,2025/26,GK,20,1794,46.5,0.1,63.4,72.6,33.5,1.1,7.4,12.4,,,,,,,,,,,,,,,,,,,,,,
Mio Backhaus,Werder Bremen,Bundesliga,2024/25,GK,19,1524,46.5,0.09,58.3,66.8,30.8,1.01,10.0,11.41,,,,,,,,,,,,,,,,,,,,,,
Marco Friedl,Werder Bremen,Bundesliga,2025/26,CB,26,2580,46.5,,,79.7,,,,,3.2,395.7,3.13,1.92,71.6,1.99,1.93,5.6,1.2,55.1,67.9,,,,,,,,,,,
Marco Friedl,Werder Bremen,Bundesliga,2024/25,CB,25,2580,46.5,,,81.3,,,,,3.26,403.61,3.19,1.96,73.0,2.03,1.97,5.71,1.22,56.2,69.3,,,,,,,,,,,
Niklas Stark,Werder Bremen,Bundesliga,2025/26,CB,29,2356,46.5,,,88.7,,,,,3.32,283.7,5.17,1.79,79.2,1.27,1.48,7.32,1.3,61.3,79.3,,,,,,,,,,,
Niklas Stark,Werder Bremen,Bundesliga,2024/25,CB,28,2356,46.5,,,90.5,,,,,3.39,289.37,5.27,1.83,80.8,1.3,1.51,7.47,1.33,62.5,80.9,,,,,,,,,,,
Milos Veljkovic,Werder Bremen,Bundesliga,2025/26,CB,29,2107,46.5,,,80.0,,,,,4.78,322.8,4.09,0.86,61.3,2.63,1.59,4.4,1.85,66.8,70.9,,,,,,,,,,,
Milos Veljkovic,Werder Bremen,Bundesliga,2024/25,CB,28,2107,46.5,,,81.6,,,,,4.88,329.26,4.17,0.88,62.5,2.68,1.62,4.49,1.89,68.1,72.3,,,,,,,,,,,
Anthony Jung,Werder Bremen,Bundesliga,2025/26,CB,33,3053,46.5,,,75.5,,,,,4.91,435.7,2.44,1.7,74.9,1.14,2.27,6.78,2.01,57.8,66.1,,,,,,,,,,,
Anthony Jung,Werder Bremen,Bundesliga,2024/25,CB,32,3053,46.5,,,79.3,,,,,5.16,457.49,2.56,1.78,78.6,1.2,2.38,7.12,2.11,60.7,69.4,,,,,,,,,,,
Mitchell Weiser,Werder Bremen,Bundesliga,2025/26,FB,30,1834,46.5,,,87.8,,,,,4.92,,3.52,2.5,60.8,2.59,2.19,5.58,,53.4,,0.18,2.93,1.9,0.65,3.76,0.55,,,,,
Mitchell Weiser,Werder Bremen,Bundesliga,2024/25,FB,29,1834,46.5,,,89.6,,,,,5.02,,3.59,2.55,62.0,2.64,2.23,5.69,,54.5,,0.18,2.99,1.94,0.66,3.84,0.56,,,,,
Felix Agu,Werder Bremen,Bundesliga,2025/26,FB,25,1148,46.5,,,81.0,,,,,5.25,,3.94,3.11,49.9,3.09,1.16,4.8,,58.7,,0.07,2.0,1.73,0.83,3.9,0.21,,,,,
Felix Agu,Werder Bremen,Bundesliga,2024/25,FB,24,1148,46.5,,,82.6,,,,,5.36,,4.02,3.17,50.9,3.15,1.18,4.9,,59.9,,0.07,2.04,1.76,0.85,3.98,0.21,,,,,
Derrick Köhn,Werder Bremen,Bundesliga,2025/26,FB,26,3085,46.5,,,83.9,,,,,5.35,,3.03,2.75,43.1,2.33,2.44,4.85,,43.5,,0.17,2.65,1.42,1.28,1.07,0.57,,,,,
Derrick Köhn,Werder Bremen,Bundesliga,2024/25,FB,25,3085,46.5,,,85.6,,,,,5.46,,3.09,2.81,44.0,2.38,2.49,4.95,,44.4,,0.17,2.7,1.45,1.31,1.09,0.58,,,,,
Senne Lynen,Werder Bremen,Bundesliga,2025/26,CM,25,2077,46.5,,,85.8,,,,,6.26,,3.18,1.17,66.3,1.56,1.51,5.44,1.76,63.2,,0.21,3.06,1.39,0.7,,,0.06,,,,
Senne Lynen,Werder Bremen,Bundesliga,2024/25,CM,24,2077,46.5,,,87.5,,,,,6.39,,3.24,1.19,67.6,1.59,1.54,5.55,1.8,64.5,,0.21,3.12,1.42,0.71,,,0.06,,,,
Jens Stage,Werder Bremen,Bundesliga,2025/26,CM,28,1799,46.5,,,87.0,,,,,7.15,,5.63,1.47,56.9,3.34,2.32,6.8,1.32,40.1,,0.16,2.49,1.52,1.42,,,0.09,,,,
Jens Stage,Werder Bremen,Bundesliga,2024/25,CM,27,1799,46.5,,,88.7,,,,,7.29,,5.74,1.5,58.0,3.41,2.37,6.94,1.35,40.9,,0.16,2.54,1.55,1.45,,,0.09,,,,
Romano Schmid,Werder Bremen,Bundesliga,2025/26,CM,25,1679,46.5,,,88.1,,,,,4.93,,4.83,1.81,52.9,3.66,1.79,7.56,1.52,55.3,,0.2,3.93,0.91,0.7,,,0.05,,,,
Romano Schmid,Werder Bremen,Bundesliga,2024/25,CM,24,1679,46.5,,,89.9,,,,,5.03,,4.93,1.85,54.0,3.73,1.83,7.71,1.55,56.4,,0.2,4.01,0.93,0.71,,,0.05,,,,
Leonardo Bittencourt,Werder Bremen,Bundesliga,2025/26,CM,31,1267,46.5,,,79.5,,,,,7.07,,3.54,1.21,48.5,2.26,1.27,7.77,1.41,50.5,,0.22,3.35,2.18,1.91,,,0.07,,,,
Leonardo Bittencourt,Werder Bremen,Bundesliga,2024/25,CM,30,1267,46.5,,,83.5,,,,,7.42,,3.72,1.27,50.9,2.37,1.33,8.16,1.48,53.0,,0.23,3.52,2.29,2.01,,,0.07,,,,
Marco Grüll,Werder Bremen,Bundesliga,2025/26,W,26,1364,46.5,,,,,,,,3.16,,,3.67,44.3,1.74,1.37,5.86,,,,0.23,3.96,2.52,,7.65,0.74,0.32,2.57,6.68,1.47,
Marco Grüll,Werder Bremen,Bundesliga,2024/25,W,25,1364,46.5,,,,,,,,3.22,,,3.74,45.2,1.77,1.4,5.98,,,,0.23,4.04,2.57,,7.8,0.75,0.33,2.62,6.81,1.5,
Justin Njinmah,Werder Bremen,Bundesliga,2025/26,W,24,1599,46.5,,,,,,,,2.33,,,4.95,61.0,1.08,0.77,4.61,,,,0.34,4.02,2.37,,5.08,0.45,0.39,2.49,5.74,1.08,
Justin Njinmah,Werder Bremen,Bundesliga,2024/25,W,23,1599,46.5,,,,,,,,2.24,,,4.75,58.6,1.04,0.74,4.43,,,,0.33,3.86,2.28,,4.88,0.43,0.37,2.39,5.51,1.04,
Olivier Deman,Werder Bremen,Bundesliga,2025/26,W,24,2673,46.5,,,,,,,,4.17,,,6.96,53.6,1.38,0.72,4.28,,,,0.3,3.99,2.37,,4.34,0.96,0.32,2.52,5.29,2.89,
Olivier Deman,Werder Bremen,Bundesliga,2024/25,W,23,2673,46.5,,,,,,,,4.0,,,6.68,51.5,1.32,0.69,4.11,,,,0.29,3.83,2.28,,4.17,0.92,0.31,2.42,5.08,2.77,
Marvin Ducksch,Werder Bremen,Bundesliga,2025/26,ST,30,1813,46.5,,,64.7,,,,,,,,,,1.21,,2.2,,55.4,,0.14,3.49,1.66,,,0.55,0.45,4.5,5.39,1.72,44.0
Marvin Ducksch,Werder Bremen,Bundesliga,2024/25,ST,29,1813,46.5,,,66.0,,,,,,,,,,1.23,,2.24,,56.5,,0.14,3.56,1.69,,,0.56,0.46,4.59,5.5,1.75,44.9
Keke Topp,Werder Bremen,Bundesliga,2025/26,ST,20,2553,46.5,,,66.5,,,,,,,,,,1.36,,2.03,,36.5,,0.12,2.06,1.31,,,0.37,0.38,2.78,4.83,1.56,39.1
Keke Topp,Werder Bremen,Bundesliga,2024/25,ST,19,2170,46.5,,,61.2,,,,,,,,,,1.25,,1.87,,33.6,,0.11,1.9,1.21,,,0.34,0.35,2.56,4.44,1.44,36.0
Noah Atubolu,SC Freiburg,Bundesliga,2025/26,GK,22,1190,48.0,-0.21,75.0,73.2,31.5,1.05,8.9,16.2,,,,,,,,,,,,,,,,,,,,,,
Noah Atubolu,SC Freiburg,Bundesliga,2024/25,GK,21,1190,48.0,0.0,72.0,70.3,30.2,1.01,10.0,15.55,,,,,,,,,,,,,,,,,,,,,,
Florian Müller,SC Freiburg,Bundesliga,2025/26,GK,27,1343,48.0,-0.13,74.2,81.6,49.0,1.85,7.4,15.5,,,,,,,,,,,,,,,,,,,,,,
Florian Müller,SC Freiburg,Bundesliga,2024/25,GK,26,1343,48.0,0.0,75.7,83.2,50.0,1.89,10.0,15.81,,,,,,,,,,,,,,,,,,,,,,
Matthias Ginter,SC Freiburg,Bundesliga,2025/26,CB,31,1900,48.0,,,85.7,,,,,3.5,218.9,5.08,1.65,62.1,2.5,2.04,7.07,1.68,64.8,71.6,,,,,,,,,,,
Matthias Ginter,SC Freiburg,Bundesliga,2024/25,CB,30,1900,48.0,,,90.0,,,,,3.68,229.85,5.33,1.73,65.2,2.62,2.14,7.42,1.76,68.0,75.2,,,,,,,,,,,
Philipp Lienhart,SC Freiburg,Bundesliga,2025/26,CB,28,1181,48.0,,,87.4,,,,,3.83,366.0,3.11,0.59,66.0,1.44,1.64,4.74,1.4,71.6,66.8,,,,,,,,,,,
Philipp Lienhart,SC Freiburg,Bundesliga,2024/25,CB,27,1181,48.0,,,89.1,,,,,3.91,373.32,3.17,0.6,67.3,1.47,1.67,4.83,1.43,73.0,68.1,,,,,,,,,,,
Max Rosenfelder,SC Freiburg,Bundesliga,2025/26,CB,21,3167,48.0,,,77.2,,,,,5.41,397.1,5.52,1.64,51.4,2.25,2.26,4.06,2.39,58.2,69.1,,,,,,,,,,,
Max Rosenfelder,SC Freiburg,Bundesliga,2024/25,CB,20,3167,48.0,,,71.0,,,,,4.98,365.33,5.08,1.51,47.3,2.07,2.08,3.74,2.2,53.5,63.6,,,,,,,,,,,
Kenneth Schmidt,SC Freiburg,Bundesliga,2025/26,CB,22,2552,48.0,,,78.4,,,,,4.75,233.0,4.42,0.74,78.0,1.55,1.98,4.88,1.56,73.1,63.3,,,,,,,,,,,
Kenneth Schmidt,SC Freiburg,Bundesliga,2024/25,CB,21,2552,48.0,,,75.3,,,,,4.56,223.68,4.24,0.71,74.9,1.49,1.9,4.68,1.5,70.2,60.8,,,,,,,,,,,
Christian Günter,SC Freiburg,Bundesliga,2025/26,FB,31,2423,48.0,,,71.6,,,,,3.38,,2.23,2.03,55.6,2.39,1.01,5.53,,61.5,,0.18,2.95,1.86,1.36,2.78,0.16,,,,,
Christian Günter,SC Freiburg,Bundesliga,2024/25,FB,30,2423,48.0,,,75.2,,,,,3.55,,2.34,2.13,58.4,2.51,1.06,5.81,,64.6,,0.19,3.1,1.95,1.43,2.92,0.17,,,,,
Lukas Kübler,SC Freiburg,Bundesliga,2025/26,FB,32,1341,48.0,,,71.9,,,,,4.47,,3.15,2.25,66.2,2.78,2.02,4.71,,55.3,,0.15,1.96,0.93,2.11,3.44,0.38,,,,,
Lukas Kübler,SC Freiburg,Bundesliga,2024/25,FB,31,1341,48.0,,,75.5,,,,,4.69,,3.31,2.36,69.5,2.92,2.12,4.95,,58.1,,0.16,2.06,0.98,2.22,3.61,0.4,,,,,
Jordy Makengo,SC Freiburg,Bundesliga,2025/26,FB,23,1472,48.0,,,77.4,,,,,5.75,,2.26,3.65,62.6,2.68,1.58,7.39,,43.5,,0.14,2.94,1.68,0.8,1.3,0.26,,,,,
Jordy Makengo,SC Freiburg,Bundesliga,2024/25,FB,22,1472,48.0,,,74.3,,,,,5.52,,2.17,3.5,60.1,2.57,1.52,7.09,,41.8,,0.13,2.82,1.61,0.77,1.25,0.25,,,,,
Maximilian Eggestein,SC Freiburg,Bundesliga,2025/26,CM,28,1934,48.0,,,89.1,,,,,4.13,,6.5,3.12,51.2,3.02,1.28,6.57,1.58,59.6,,0.1,3.3,2.03,1.07,,,0.1,,,,
Maximilian Eggestein,SC Freiburg,Bundesliga,2024/25,CM,27,1934,48.0,,,90.9,,,,,4.21,,6.63,3.18,52.2,3.08,1.31,6.7,1.61,60.8,,0.1,3.37,2.07,1.09,,,0.1,,,,
Nicolas Höfler,SC Freiburg,Bundesliga,2025/26,CM,34,1780,48.0,,,89.7,,,,,8.93,,3.53,3.33,70.8,2.92,1.55,7.73,1.72,63.9,,0.07,3.0,1.81,1.56,,,0.08,,,,
Nicolas Höfler,SC Freiburg,Bundesliga,2024/25,CM,33,1780,48.0,,,94.2,,,,,9.38,,3.71,3.5,74.3,3.07,1.63,8.12,1.81,67.1,,0.07,3.15,1.9,1.64,,,0.08,,,,
Patrick Osterhage,SC Freiburg,Bundesliga,2025/26,CM,25,1098,48.0,,,86.8,,,,,6.53,,5.0,2.57,57.5,3.25,1.12,7.15,1.54,46.9,,0.06,2.29,0.87,0.62,,,0.02,,,,
Patrick Osterhage,SC Freiburg,Bundesliga,2024/25,CM,24,1098,48.0,,,88.5,,,,,6.66,,5.1,2.62,58.6,3.31,1.14,7.29,1.57,47.8,,0.06,2.34,0.89,0.63,,,0.02,,,,
Merlin Röhl,SC Freiburg,Bundesliga,2025/26,CM,22,2069,48.0,,,83.8,,,,,7.82,,5.57,2.62,54.3,2.59,2.43,5.95,1.09,63.1,,0.23,4.42,1.06,1.15,,,0.03,,,,
Merlin Röhl,SC Freiburg,Bundesliga,2024/25,CM,21,2069,48.0,,,80.4,,,,,7.51,,5.35,2.52,52.1,2.49,2.33,5.71,1.05,60.6,,0.22,4.24,1.02,1.1,,,0.03,,,,
Vincenzo Grifo,SC Freiburg,Bundesliga,2025/26,W,31,1275,48.0,,,,,,,,2.66,,,5.81,57.7,2.07,1.22,3.5,,,,0.27,3.43,1.94,,3.6,0.41,0.29,2.98,5.96,3.38,
Vincenzo Grifo,SC Freiburg,Bundesliga,2024/25,W,30,1275,48.0,,,,,,,,2.79,,,6.1,60.6,2.17,1.28,3.68,,,,0.28,3.6,2.04,,3.78,0.43,0.3,3.13,6.26,3.55,
Ritsu Doan,SC Freiburg,Bundesliga,2025/26,W,26,1900,48.0,,,,,,,,4.51,,,6.9,46.6,0.61,1.36,3.5,,,,0.17,5.2,1.92,,5.62,0.44,0.37,2.17,4.72,2.24,
Ritsu Doan,SC Freiburg,Bundesliga,2024/25,W,25,1900,48.0,,,,,,,,4.6,,,7.04,47.5,0.62,1.39,3.57,,,,0.17,5.3,1.96,,5.73,0.45,0.38,2.21,4.81,2.28,
Noah Weißhaupt,SC Freiburg,Bundesliga,2025/26,W,23,1221,48.0,,,,,,,,3.46,,,3.18,40.3,2.42,0.54,5.41,,,,0.28,2.85,1.32,,7.29,0.94,0.42,2.98,3.01,3.3,
Noah Weißhaupt,SC Freiburg,Bundesliga,2024/25,W,22,1221,48.0,,,,,,,,3.32,,,3.05,38.7,2.32,0.52,5.19,,,,0.27,2.74,1.27,,7.0,0.9,0.4,2.86,2.89,3.17,
Eren Dinkci,SC Freiburg,Bundesliga,2025/26,W,23,2517,48.0,,,,,,,,2.21,,,5.69,43.0,0.59,0.9,5.63,,,,0.2,5.25,1.93,,5.86,1.08,0.22,2.14,6.3,1.56,
Eren Dinkci,SC Freiburg,Bundesliga,2024/25,W,22,2517,48.0,,,,,,,,2.12,,,5.46,41.3,0.57,0.86,5.4,,,,0.19,5.04,1.85,,5.63,1.04,0.21,2.05,6.05,1.5,
Michael Gregoritsch,SC Freiburg,Bundesliga,2025/26,ST,30,2072,48.0,,,71.8,,,,,,,,,,1.4,,1.89,,49.1,,0.11,2.75,1.2,,,0.66,0.46,3.61,4.8,1.24,35.2
Michael Gregoritsch,SC Freiburg,Bundesliga,2024/25,ST,29,2072,48.0,,,73.2,,,,,,,,,,1.43,,1.93,,50.1,,0.11,2.81,1.22,,,0.67,0.47,3.68,4.9,1.26,35.9
Chukwubuike Adamu,SC Freiburg,Bundesliga,2025/26,ST,23,1804,48.0,,,75.2,,,,,,,,,,0.71,,2.12,,50.9,,0.19,1.52,1.0,,,0.64,0.38,4.36,6.17,1.06,35.5
Chukwubuike Adamu,SC Freiburg,Bundesliga,2024/25,ST,22,1804,48.0,,,72.2,,,,,,,,,,0.68,,2.04,,48.9,,0.18,1.46,0.96,,,0.61,0.36,4.19,5.92,1.02,34.1
Lucas Höler,SC Freiburg,Bundesliga,2025/26,ST,30,1775,48.0,,,68.3,,,,,,,,,,1.08,,3.0,,42.0,,0.06,1.96,1.77,,,0.48,0.51,4.42,4.57,1.84,54.5
Lucas Höler,SC Freiburg,Bundesliga,2024/25,ST,29,1775,48.0,,,69.7,,,,,,,,,,1.1,,3.06,,42.8,,0.06,2.0,1.81,,,0.49,0.52,4.51,4.66,1.88,55.6
Finn Dahmen,FC Augsburg,Bundesliga,2025/26,GK,26,2870,44.5,-0.21,76.4,66.5,44.2,1.37,11.7,13.4,,,,,,,,,,,,,,,,,,,,,,
Finn Dahmen,FC Augsburg,Bundesliga,2024/25,GK,25,2870,44.5,0.0,77.9,67.8,45.1,1.4,11.9,13.67,,,,,,,,,,,,,,,,,,,,,,
Nediljko Labrovic,FC Augsburg,Bundesliga,2025/26,GK,25,1869,44.5,0.3,78.5,72.9,50.8,1.15,7.1,13.4,,,,,,,,,,,,,,,,,,,,,,
Nediljko Labrovic,FC Augsburg,Bundesliga,2024/25,GK,24,1869,44.5,0.31,80.1,74.4,51.8,1.17,10.0,13.67,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Gouweleeuw,FC Augsburg,Bundesliga,2025/26,CB,33,1630,44.5,,,77.3,,,,,5.08,227.2,1.98,1.17,59.4,1.24,1.54,6.7,1.68,64.3,77.0,,,,,,,,,,,
Jeffrey Gouweleeuw,FC Augsburg,Bundesliga,2024/25,CB,32,1630,44.5,,,81.2,,,,,5.33,238.56,2.08,1.23,62.4,1.3,1.62,7.04,1.76,67.5,80.9,,,,,,,,,,,
Keven Schlotterbeck,FC Augsburg,Bundesliga,2025/26,CB,27,1170,44.5,,,77.7,,,,,4.74,406.6,4.64,0.56,75.1,1.66,1.14,4.87,1.53,65.3,73.5,,,,,,,,,,,
Keven Schlotterbeck,FC Augsburg,Bundesliga,2024/25,CB,26,1170,44.5,,,79.3,,,,,4.83,414.73,4.73,0.57,76.6,1.69,1.16,4.97,1.56,66.6,75.0,,,,,,,,,,,
